n.id,name_node_a,id_node_b,name_node_b,id_relationship
8ebb5bf7f39a9ec7304a17cdf5063df9-a87ff679a2f3e71d9181a67b7542122c,Martin,de1284aa9ed99ad37c8259c2028b161c-a87ff679a2f3e71d9181a67b7542122c,ODI,2e5a2a961bb7f5ef615b927a922c6983-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan Alvarez,ddcf399a9481fb98e95be202496acbbc-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,6bb28c0af81044a5f2bf023eb7f253e2-a87ff679a2f3e71d9181a67b7542122c,Lucas Mo,bdcaa911191e7e229b4be33b4afea8ce-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,51280652ee54bf9e25636110b859faf5-a87ff679a2f3e71d9181a67b7542122c,Fernando Chavez,3f72a2b4e6e9a7b24bec95e8fa38feec-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,f6b8790fd8dcb51f4ccec2e19f6db824-a87ff679a2f3e71d9181a67b7542122c,Gastón Fortuny,aa2fd1ed3c35bb00eaeefff7ff94425e-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,533348a1f755b9512eb8b91aa07a300a-a87ff679a2f3e71d9181a67b7542122c,Andrea Almada,0c436c02b1b0ac7eea5cec485a08af92-a87ff679a2f3e71d9181a67b7542122c
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Equipo,8ebb5bf7f39a9ec7304a17cdf5063df9-a87ff679a2f3e71d9181a67b7542122c,Martin,9fa9e6c80878e6c2506c27dc1ac40ccf-a87ff679a2f3e71d9181a67b7542122c
4631193902bfaa235973c349bce7a3a7-a87ff679a2f3e71d9181a67b7542122c,Kubernetes,52dcc954f0e2235ecd4675e7966ec6ef-a87ff679a2f3e71d9181a67b7542122c,Contenedores,9c25a13492c8a8c9c3291f583742fa86-a87ff679a2f3e71d9181a67b7542122c
dbc99b3e3534c783415b59b687bd3b49-a87ff679a2f3e71d9181a67b7542122c,Redis,033b8b21e9a6bb06969eaf9e9f5b3abd-a87ff679a2f3e71d9181a67b7542122c,In-memory,66ce7e5177b4dafa9e93350deabbdb4c-a87ff679a2f3e71d9181a67b7542122c
74d7bde7ea69ff4f8b8a5130ebd907f2-a87ff679a2f3e71d9181a67b7542122c,HBase,09d037be8031bba8db90fb2f69c150e0-a87ff679a2f3e71d9181a67b7542122c,Columnares,6946af4d223c158ab562a8fbdc4fc8be-a87ff679a2f3e71d9181a67b7542122c
c270de469c4c338f3eade627746305bd-a87ff679a2f3e71d9181a67b7542122c,neo4j,601d9d2120909a0375d14213d2723ab7-a87ff679a2f3e71d9181a67b7542122c,Graph db,a090aad9246284167dd3ba3aa14027c9-a87ff679a2f3e71d9181a67b7542122c
601d9d2120909a0375d14213d2723ab7-a87ff679a2f3e71d9181a67b7542122c,Graph db,3c52acae246e2af61b21a3b6e63c0b49-a87ff679a2f3e71d9181a67b7542122c,NoSQL,d53f6dff2ce8489c734310c4d79bad57-a87ff679a2f3e71d9181a67b7542122c
