n.id,name_node_a,id_node_b,name_node_b,id_relationship
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,de1284aa9ed99ad37c8259c2028b161c-a87ff679a2f3e71d9181a67b7542122c,ODI,3b6309cf01fa7588efcca3469f41f3e8-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,5acbe3aee600d4592d46ea0889b4f5c8-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,f6776d9a7bd892cf529b2bda3ca42d8b-a87ff679a2f3e71d9181a67b7542122c,Docker,78c94d33477eabbd7c4e5e40e764d038-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,e2bf1ff5ede36b5b4de4f152fa781364-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,0d19f40ecc4c80ff14c2c225998be837-a87ff679a2f3e71d9181a67b7542122c,Spark,0d6a73dce5cc6cf7559b48bcb0d9befc-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,d37772bf703931e76d906eaafe580293-a87ff679a2f3e71d9181a67b7542122c,S3,8face6ae8a9e6f3a52e91a39dc5ffd0a-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,886f0d10fd11a0fb8f50aa3b4eb4b2ba-a87ff679a2f3e71d9181a67b7542122c,EC2,bf9bfd67694eac991b4aef5cf58cdfe6-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,166348693bdfdd787ed9de79fb714bb1-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,5a0b69eb8a2a6ebe2b45a24bd65e8293-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,c93063c6040fc818752bd79fe469dbe2-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,3fcd5c449250a68fadb0ff7d4ec6c818-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,5939ec5f853a2d393ccb910609fb916f-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,d95e23fa7cbb5d414d50bc2983c137a6-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,4edc2af7e8b4aedeb6e4737c4ace1cad-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,80e4385d72005d9923cecb78f9fb6d20-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,755b961ff79a42bb00bebb67984ceea9-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,38f44376f57ad0c2054d8858208445fb-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,4631193902bfaa235973c349bce7a3a7-a87ff679a2f3e71d9181a67b7542122c,Kubernetes,4617a67947c8b03de5d3ffcdac7a2d2f-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,bbbe1fbd5a476cc46c35ea4b051c1a36-a87ff679a2f3e71d9181a67b7542122c,phyton,ce4cfbb8090c9bb6b2630d88f0b1af56-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,9a5775bee61bee479a97c5eda2341d29-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,4829005fb663b4ddba3a474e935fd70a-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,ffeffd6344800bfc7214b6d7ef83ea10-a87ff679a2f3e71d9181a67b7542122c,talend,11e984a984d93dfdd006348b7f1f700e-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,a73ac70ac8369c5ac8466236ed93445b-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,362da8a51e150638e6981d0771534c8e-a87ff679a2f3e71d9181a67b7542122c,pentaho,6298995c69fbd7f057e5b770086e770b-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,b9f2712f8d37d14a3eb39bf043e85b04-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,c064dffb1a0f1a937b56ee9c0c0a0b9c-a87ff679a2f3e71d9181a67b7542122c,unix,46515cf1c8836334da33f44d1c371452-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,7658e020131c329d176f7ad2d46b0c42-a87ff679a2f3e71d9181a67b7542122c,Oracle,17e1ee40e480b5ea92a39548aeb71994-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,a58efbe1a239da9280f6c0fe19958655-a87ff679a2f3e71d9181a67b7542122c,Google cloud,9c2f80160dac2902e7038de4733996ab-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,f6776d9a7bd892cf529b2bda3ca42d8b-a87ff679a2f3e71d9181a67b7542122c,Docker,c2cdea0d529b6c7dc1a0ea87cdd8cdb6-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,c270de469c4c338f3eade627746305bd-a87ff679a2f3e71d9181a67b7542122c,neo4j,c8eb57c4a7b9df4d36d23f0a663a9cbd-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,4bc67c9e6001ce92edd195848030cb53-a87ff679a2f3e71d9181a67b7542122c,Technical Leader,335db2861af21b6b35d4880a50ca759e-c81e728d9d4c2f636f067f89cc14862c
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,0ca65dd7be51449cbddf3de13abbd7d1-c81e728d9d4c2f636f067f89cc14862c
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,cccd50710688e8ce4ed34f7a80a7d87b-c81e728d9d4c2f636f067f89cc14862c
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,6af6b7650a408be285b2b0eca18d7e28-c81e728d9d4c2f636f067f89cc14862c
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,4a71cc422b96a618025f2c90eb6279b4-c81e728d9d4c2f636f067f89cc14862c
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,4b1a0960dbdbbf49dfcfde7a6a650dd6-c81e728d9d4c2f636f067f89cc14862c
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,5a60db78bfff70a747e7f2583f4e2a49-c81e728d9d4c2f636f067f89cc14862c
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,150ed14d970f071f937f87c058360864-c81e728d9d4c2f636f067f89cc14862c
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,5e5e3244315070559584fa9c9d9a7d39-c81e728d9d4c2f636f067f89cc14862c
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,5879f8278f63706fc58091c891f3299e-c81e728d9d4c2f636f067f89cc14862c
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,81a84f3b1401a2b9af3e23965db2eda4-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,DBA,30278348282da02cd01f4d3d31ee2f98-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,342c8909ccc271dbb9d83e960fd04b00-a87ff679a2f3e71d9181a67b7542122c,windows,a926235c8a5b642d835ae6d9027462d6-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,3182287fcfde7d9e4a9f9c0bd744f481-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,de1284aa9ed99ad37c8259c2028b161c-a87ff679a2f3e71d9181a67b7542122c,ODI,ce597e0573f888edfc38ed8afdad091f-c81e728d9d4c2f636f067f89cc14862c
